N,P,K,pH,Rain,Temp,Humid,Crop,Fertilizer,Fertilizer_class
7,73,25,7.28805662,45.20841071,27.52185591,63.13215259,Lentil,Chilated Micronutrient,11
80,43,16,6.657964753,66.71995467,23.55882094,71.59351368,Maize,Urea,2
150,70,75,7.5,1100.0,35.0,58.5849758712561,Sugarcane,DAP,0
25,20,40,5.5,1500.0,20.0,66.9661927418199,Turmeric,Urea,2
111,28,26,6.937352845,192.7121236,27.77363343,64.47858698,Coffee,SSP,1
4,14,41,6.430163481,102.8186358,19.85139326,89.80732335,Pomegranate,Urea,2
120,60,50,7.5,900.0,15.0,43.0846026102272,Wheat,Urea,2
30,40,30,7.5,700.0,25.0,63.53336564573921,Groundnut,Chilated Micronutrient,11
80,18,31,7.303033217,134.6803969,24.02952505,58.84880599,Coffee,10:26:26 NPK,4
125,80,95,6.5,700.0,20.0,55.143085716113056,Sugarcane,Urea,2
150,70,60,6.0,500.0,20.0,67.34845617129332,Maize,MOP,3
106,14,45,6.417011754,57.26773002,24.47018505,84.16390229,Watermelon,Magnesium Sulphate,5
32,48,18,5.993513566,64.16167699,26.45707778,56.40226277,MothBeans,SSP,1
29,145,205,6.212302608,109.3383552,22.81227579,92.12992101,Apple,Ferrous Sulphate,8
150,80,140,7.0,1400.0,20.0,77.21439249888216,Sugarcane,MOP,3
135,80,45,7.5,500.0,30.0,53.18917650803395,Maize,Urea,2
145,75,135,6.5,1300.0,35.0,53.8495481826023,Sugarcane,MOP,3
3,60,19,4.820788186,100.7791633,25.74679443,40.7192594,PigeonPeas,SSP,1
103,40,30,6.348316257,141.4831644,27.30901814,55.196224,Coffee,Urea,2
110,15,48,6.212567211,27.5987178,28.57819995,92.86597437,Muskmelon,12:32:16 NPK,7
110,70,55,7.5,800.0,25.0,71.6579359294432,Cotton,Magnesium Sulphate,5
40,55,25,6.5,700.0,30.0,80.69093561478057,Tur,SSP,1
95,45,50,7.0,1000.0,25.0,65.86898418561306,Rice,50:26:26 NPK,16
150,65,125,6.5,1000.0,25.0,81.76979116880304,Sugarcane,Urea,2
60,50,60,6.0,500.0,15.0,61.607811134547006,Wheat,19:19:19 NPK,6
65,45,45,6.5,600.0,20.0,52.869661278730774,Wheat,19:19:19 NPK,6
70,40,30,7.0,700.0,35.0,45.191669101534686,Moong,MOP,3
30,40,25,6.5,700.0,30.0,42.93071894720509,Tur,SSP,1
130,75,55,7.5,500.0,20.0,73.4021208230542,Maize,Urea,2
125,80,125,7.5,1500.0,25.0,73.36327266422794,Sugarcane,DAP,0
81,30,48,6.041027474,29.86681385,28.52379742,92.09688432,Muskmelon,Urea,2
145,80,150,7.0,1400.0,30.0,49.76989378694393,Sugarcane,MOP,3
145,70,60,6.0,500.0,20.0,47.43118526641102,Maize,MOP,3
36,29,13,7.829507245,109.7513927,20.68185224,90.91510525,Orange,Urea,2
20,35,25,6.5,900.0,25.0,43.082977408038154,Urad,Urea,2
105,50,40,6.5,900.0,20.0,79.53431861920735,Wheat,Urea,2
80,55,105,7.0,1100.0,25.0,49.514535352142076,Sugarcane,Urea,2
100,40,55,7.5,1300.0,25.0,52.55712040345401,Rice,50:26:26 NPK,16
30,40,25,6.5,900.0,35.0,60.664089751608415,Groundnut,Chilated Micronutrient,11
105,45,60,6.0,1400.0,30.0,58.96075787368236,Rice,50:26:26 NPK,16
105,25,45,7.5,1000.0,30.0,60.17338250073548,Cotton,DAP,0
135,80,75,8.5,1000.0,20.0,58.07698321170924,Sugarcane,MOP,3
20,35,25,7.5,800.0,25.0,57.31637293863534,Jowar,SSP,1
40,35,40,7.5,800.0,30.0,57.92328466317459,Jowar,SSP,1
88,5,47,6.662244646,41.16554802,25.86475496,86.67468041,Watermelon,Urea,2
120,80,45,7.5,500.0,30.0,49.50675243049791,Maize,Urea,2
81,30,31,7.027585559,135.1386537,24.65090184,51.93952357,Coffee,SSP,1
20,30,20,6.0,800.0,20.0,61.65298577178364,Urad,Urea,2
2,79,15,7.505283615,35.75107592,21.53577883,65.47227704,Lentil,Urea,2
1,17,6,6.8198271,117.5293447,10.78689755,91.38411917,Orange,Urea,2
105,60,23,6.207652157,87.54004943,23.53371386,77.21705554,Cotton,Urea,2
95,40,135,7.5,800.0,20.0,44.86578295971007,Grapes,Ferrous Sulphate,8
150,70,125,7.0,900.0,20.0,57.06202886737725,Sugarcane,Urea,2
100,50,40,6.5,900.0,20.0,57.531838263623825,Wheat,Urea,2
115,70,60,6.0,500.0,15.0,63.05353324752468,Wheat,19:19:19 NPK,6
135,75,150,7.0,1100.0,25.0,52.507837618825036,Sugarcane,DAP,0
120,50,40,6.5,1000.0,25.0,52.05183462290989,Wheat,19:19:19 NPK,6
120,75,50,7.0,600.0,30.0,61.59025781473666,Maize,SSP,1
60,30,30,6.0,300.0,20.0,76.38585664703089,Soybean,SSP,1
50,40,25,7.0,600.0,35.0,51.087838874289666,Jowar,SSP,1
120,50,40,6.5,700.0,15.0,46.08247757149442,Wheat,19:19:19 NPK,6
115,65,50,7.0,500.0,15.0,47.36996456217197,Wheat,Urea,2
135,70,55,6.5,600.0,25.0,80.1259342876405,Maize,SSP,1
30,45,30,6.5,800.0,25.0,75.02602760443997,Groundnut,SSP,1
2,129,201,5.682343744,122.1449949,22.78234161,94.36803516,Apple,Ferrous Sulphate,8
102,25,50,6.099662369,20.36001144,28.20480805,92.91440379,Muskmelon,12:32:16 NPK,7
13,73,20,5.391560418,162.5927723,30.50420876,35.48885969,PigeonPeas,SSP,1
120,45,55,7.5,1000.0,25.0,79.73987926343771,Wheat,Urea,2
145,75,120,6.5,1000.0,35.0,27.64648417278618,Sugarcane,DAP,0
80,30,30,6.0,500.0,25.0,69.16448138812501,Moong,SSP,1
30,30,35,7.0,700.0,25.0,45.28799484889679,Jowar,SSP,1
100,45,125,6.5,800.0,25.0,58.39319082821449,Grapes,Ferrous Sulphate,8
35,40,25,7.5,700.0,20.0,43.308398669245,Gram,MOP,3
26,68,24,7.504930973,37.15824966,28.04849594,64.07691942,Lentil,Chilated Micronutrient,11
32,137,204,5.824151693,117.7296726,22.86006627,93.12859895,Apple,Ferrous Sulphate,8
16,18,26,5.568365926,145.5414413,28.43647052,91.81320717,Coconut,Urea,2
135,55,60,7.0,1000.0,35.0,37.209892283529456,Cotton,Magnesium Sulphate,5
117,79,49,6.176644228,112.9794804,25.40909896,82.36208097,Banana,19:19:19 NPK,6
100,50,60,5.5,700.0,35.0,35.00368937228369,Rice,Urea,2
120,75,70,8.0,1200.0,35.0,59.355857330516656,Sugarcane,MOP,3
29,67,21,6.621323612,63.02169909,29.79181107,63.38789228,Blackgram,SSP,1
40,25,30,6.0,300.0,25.0,72.75394416143678,Tur,MOP,3
95,38,22,5.730617109,100.7689246,19.84939404,61.24500053,Maize,Urea,2
105,75,60,6.0,900.0,30.0,81.78312730851827,Cotton,Magnesium Sulphate,5
120,60,50,5.5,500.0,25.0,45.48234848604783,Maize,Urea,2
150,75,60,8.0,1100.0,25.0,72.02093842288639,Sugarcane,MOP,3
31,130,198,5.554823557,120.0586671,21.80129837,92.73446667,Apple,Ferrous Sulphate,8
0,29,32,5.868255858,171.6516396,28.05912437,98.3670985,Coconut,Chilated Micronutrient,11
85,38,41,6.249050656,276.6552459,21.58711777,82.7883708,Rice,19:19:19 NPK,6
30,20,30,6.0,700.0,25.0,44.69465039665712,Rice,Urea,2
105,55,70,7.0,900.0,30.0,56.68259297931746,Cotton,Magnesium Sulphate,5
135,60,135,7.0,1400.0,30.0,42.896540484745046,Sugarcane,DAP,0
80,40,45,6.5,700.0,25.0,79.04642650196334,Wheat,Urea,2
120,20,45,6.0,700.0,25.0,56.15431479629413,Cotton,Magnesium Sulphate,5
45,30,15,6.5,600.0,25.0,44.50669279225229,Gram,DAP,0
100,65,45,6.5,600.0,20.0,73.39066356566882,Wheat,19:19:19 NPK,6
85,40,135,7.5,800.0,20.0,47.836692874428046,Grapes,Ferrous Sulphate,8
38,36,21,6.556372966,36.12042927,28.02952623,84.8845732,MungBean,SSP,1
140,80,100,6.5,700.0,25.0,65.9001146686953,Sugarcane,DAP,0
140,65,55,7.5,700.0,30.0,80.95657905879196,Maize,MOP,3
105,60,55,6.0,500.0,15.0,82.34108957044008,Wheat,Urea,2
80,60,60,6.0,1400.0,30.0,80.26844645006156,Rice,Urea,2
140,50,55,6.5,900.0,30.0,54.81284392761306,Cotton,Magnesium Sulphate,5
27,61,18,5.266227032,108.5090168,33.30711818,67.07780816,PigeonPeas,SSP,1
85,52,45,7.224285503,265.5355937,26.31355498,82.36698992,Rice,19:19:19 NPK,6
145,80,120,6.5,1000.0,25.0,51.99007493362737,Sugarcane,Urea,2
40,35,20,6.5,400.0,25.0,69.06889793880627,Soybean,SSP,1
130,65,60,7.0,1000.0,25.0,67.13561865243076,Sugarcane,MOP,3
40,16,35,4.954739564,98.33351125,34.16438906,54.16482251,Mango,Urea,2
70,45,40,6.5,600.0,20.0,55.69928621188984,Wheat,19:19:19 NPK,6
125,75,120,7.0,1400.0,20.0,72.17102396047305,Sugarcane,DAP,0
120,60,75,6.5,1000.0,35.0,44.70877441451694,Sugarcane,MOP,3
110,55,50,7.5,1500.0,35.0,38.14149463644843,Rice,Urea,2
55,40,40,6.0,500.0,30.0,64.34832461376861,Jowar,10:26:26 NPK,4
37,73,21,5.560224583,189.5208915,29.50304807,63.46513414,PigeonPeas,Urea,2
100,50,130,7.0,700.0,30.0,75.77412160122296,Grapes,Ferrous Sulphate,8
150,55,75,6.5,1000.0,35.0,21.61272897657136,Cotton,DAP,0
100,80,60,6.0,900.0,30.0,47.42715954504728,Cotton,12:32:16 NPK,7
88,35,35,6.784460602,117.9389993,27.55906475,58.45742907,Coffee,Urea,2
26,67,24,5.642813116,161.4812963,36.97794384,37.73992903,PigeonPeas,SSP,1
38,24,33,5.973853124,142.9403233,28.28905147,97.00396405,Coconut,Urea,2
19,39,17,6.890156495,44.47427436,29.2808618,81.8009244,MungBean,SSP,1
25,62,21,7.040056094,67.15096376,26.73433965,68.13999721,Blackgram,Chilated Micronutrient,11
80,55,40,6.5,600.0,20.0,76.33438464231055,Wheat,19:19:19 NPK,6
10,44,24,8.0344125,58.27600682,30.99256944,43.02151392,MothBeans,SSP,1
90,60,60,7.5,800.0,15.0,51.31451092847424,Wheat,Urea,2
120,55,40,6.5,600.0,20.0,45.258536740914856,Wheat,Urea,2
115,80,55,6.5,800.0,25.0,55.90252950258744,Cotton,12:32:16 NPK,7
17,64,16,7.161797643,180.716828,30.97758716,32.24914235,PigeonPeas,SSP,1
145,40,75,6.5,1000.0,35.0,54.21330261509485,Cotton,DAP,0
140,75,85,6.5,700.0,20.0,52.30568797547927,Sugarcane,DAP,0
125,60,55,6.5,900.0,30.0,59.169698973832794,Cotton,DAP,0
145,75,80,7.0,800.0,25.0,78.53842386174308,Sugarcane,MOP,3
65,50,45,7.0,500.0,15.0,78.7860670691213,Wheat,19:19:19 NPK,6
20,50,30,7.0,700.0,35.0,27.22456837783522,Gram,DAP,0
91,35,39,6.970859754,206.2611855,23.79391957,80.41817957,Rice,Urea,2
130,60,145,7.0,1000.0,35.0,33.44710309067577,Sugarcane,MOP,3
0,17,42,6.859840821,109.0946323,23.20242586,91.19442671,Pomegranate,10:26:26 NPK,4
150,70,100,6.5,700.0,20.0,51.025729235583896,Sugarcane,MOP,3
140,60,135,6.0,1000.0,25.0,51.21636298203183,Sugarcane,Urea,2
127,37,18,7.041065585,91.9223468,24.87663664,76.30050373,Cotton,Urea,2
27,74,20,5.859813416,91.95792434,24.69487673,59.96669215,PigeonPeas,Urea,2
125,70,150,6.0,900.0,30.0,55.948104909202556,Sugarcane,DAP,0
135,60,60,6.0,700.0,30.0,44.02186460097993,Maize,SSP,1
29,22,40,6.145104401,107.6836871,23.62600218,89.73266695,Pomegranate,10:26:26 NPK,4
140,75,125,7.5,1200.0,20.0,53.36453640201319,Sugarcane,Urea,2
82,18,48,6.159050816,26.70581328,29.09588297,94.16748386,Muskmelon,10:26:26 NPK,4
39,24,31,4.757114897,98.67527561,33.55695561,53.72979826,Mango,Urea,2
75,40,55,7.5,500.0,15.0,66.31110107116035,Wheat,Urea,2
35,30,40,5.5,900.0,25.0,72.8979596402462,Rice,50:26:26 NPK,16
150,75,130,6.0,1000.0,25.0,55.704989789464214,Sugarcane,Urea,2
8,45,18,7.011030515,43.25095608,27.93034941,85.42058715,MungBean,Chilated Micronutrient,11
110,65,50,7.0,500.0,15.0,55.22736127287391,Wheat,Urea,2
145,60,75,7.5,1000.0,35.0,46.316258049811346,Cotton,Magnesium Sulphate,5
38,61,52,6.620729882,46.44279118,31.22790131,94.94021378,Papaya,Urea,2
25,51,24,9.392694614,65.07981523,25.5042419,61.66852372,MothBeans,Chilated Micronutrient,11
135,65,50,7.0,500.0,20.0,73.5980187020512,Maize,SSP,1
25,64,20,4.807776749,105.0380275,33.15122581,32.45974539,PigeonPeas,SSP,1
150,45,65,7.5,800.0,25.0,50.326139887907544,Cotton,DAP,0
6,144,198,5.559363609,104.5086618,21.11478672,90.31528693,Apple,Ferrous Sulphate,8
18,27,41,7.175344328,104.8216333,22.36509395,92.30882391,Pomegranate,Urea,2
145,85,140,7.0,1000.0,35.0,55.90704360182596,Sugarcane,Urea,2
30,40,20,6.0,700.0,15.0,49.09215378421277,Gram,DAP,0
60,40,25,7.0,300.0,30.0,70.67019969130644,Soybean,SSP,1
140,65,120,6.5,1000.0,35.0,54.611181081120954,Sugarcane,Urea,2
50,30,20,6.5,600.0,20.0,79.4404719018529,Jowar,10:26:26 NPK,4
130,80,145,7.0,1100.0,35.0,47.598100931032846,Sugarcane,MOP,3
29,63,17,7.26154329,66.47264636,30.02629908,67.88811637,Blackgram,Chilated Micronutrient,11
135,60,125,6.5,1300.0,35.0,42.32329551604053,Sugarcane,MOP,3
125,45,60,6.0,1000.0,35.0,25.736290435063793,Cotton,Magnesium Sulphate,5
150,55,65,7.5,800.0,25.0,60.42267719444614,Cotton,DAP,0
120,75,70,8.5,600.0,25.0,56.46883265891262,Cotton,DAP,0
76,44,17,5.855442401,65.27798457,20.41683147,62.5542482,Maize,Urea,2
88,54,44,6.149410611,233.1321372,25.7354293,83.88266234,Rice,Urea,2
150,55,60,7.0,1000.0,35.0,40.717139526267175,Cotton,Magnesium Sulphate,5
77,48,36,7.36008498,154.8390847,25.86705009,84.09985284,Jute,Urea,2
140,60,50,5.5,500.0,25.0,49.33281709770661,Maize,Urea,2
90,16,45,6.291540278,50.55710813,24.92093261,80.61750795,Watermelon,Urea,2
25,20,50,5.5,1500.0,20.0,71.2088494540636,Turmeric,White Potash,19
1,76,17,6.012719118,147.0414824,28.43430726,52.10010827,PigeonPeas,SSP,1
28,123,202,6.442289294,120.4359949,22.76643029,92.12438519,Apple,Ferrous Sulphate,8
125,75,65,8.0,1000.0,30.0,56.52895005183276,Sugarcane,MOP,3
5,16,31,4.555688532,98.00644238,35.96054636,48.69677802,Mango,Urea,2
50,30,20,6.0,600.0,25.0,42.64376987864315,Tur,Urea,2
120,75,40,7.0,600.0,25.0,61.84570063636069,Maize,Urea,2
35,55,20,6.0,600.0,25.0,62.52306475135437,Tur,Urea,2
75,40,55,7.5,1000.0,25.0,60.73564940817488,Wheat,19:19:19 NPK,6
110,60,40,7.5,900.0,20.0,46.64055538369652,Wheat,Urea,2
65,45,50,6.5,1000.0,25.0,47.458738314018724,Wheat,Urea,2
9,56,17,6.261937875,46.48280681,26.13708256,66.7729209,Lentil,SSP,1
100,65,40,6.5,800.0,15.0,76.79197512273946,Wheat,19:19:19 NPK,6
120,70,70,8.5,500.0,20.0,53.76796320326663,Cotton,Magnesium Sulphate,5
20,28,26,5.547594847,167.0470997,26.37978453,91.49882979,Coconut,Chilated Micronutrient,11
13,74,25,6.461618577,44.23629285,24.12192608,61.09533545,Lentil,SSP,1
95,60,60,6.0,1400.0,30.0,75.93841840026765,Rice,Urea,2
145,75,100,6.5,700.0,30.0,63.05445700164174,Sugarcane,Urea,2
95,50,130,7.0,700.0,30.0,56.10475839408496,Grapes,Ferrous Sulphate,8
25,30,20,6.0,700.0,20.0,60.58402316212486,Tur,MOP,3
135,65,65,7.0,1100.0,25.0,70.6063460500168,Sugarcane,Urea,2
25,60,20,7.0,600.0,30.0,69.2787274799769,Groundnut,SSP,1
80,50,45,7.0,500.0,25.0,54.49723330590175,Wheat,19:19:19 NPK,6
30,25,40,6.0,1600.0,25.0,77.51660631158235,Turmeric,White Potash,19
80,55,40,6.5,800.0,15.0,49.37452135047221,Wheat,Urea,2
30,40,35,6.5,600.0,30.0,69.43240980181517,Groundnut,SSP,1
105,60,55,7.5,800.0,15.0,61.24802031030029,Wheat,Urea,2
110,40,50,7.0,1400.0,30.0,49.13206414450481,Rice,Urea,2
6,13,9,7.786725333,118.3271968,34.51423957,90.56151463,Orange,MOP,3
75,55,45,7.0,500.0,25.0,46.73009754842283,Wheat,Urea,2
135,80,140,7.0,1400.0,20.0,69.39029127728605,Sugarcane,MOP,3
14,18,30,5.191265116,95.74606104,29.80747243,52.13797867,Mango,SSP,1
95,16,55,6.612847999,40.12650421,25.26931156,87.55055105,Watermelon,Urea,2
120,70,60,7.5,1200.0,25.0,79.37214800519399,Sugarcane,MOP,3
95,45,130,7.0,700.0,20.0,73.98522646790022,Grapes,10:10:10 NPK,9
13,61,22,7.728832424,46.83130119,19.44084326,63.27771461,Lentil,Chilated Micronutrient,11
44,59,78,7.599033472,84.78344008,20.67526473,19.85388984,ChickPea,12:32:16 NPK,7
110,55,55,7.5,900.0,30.0,47.07497456226136,Cotton,13:32:26 NPK,18
34,75,24,4.760038039,192.3023991,23.50222822,51.29019509,PigeonPeas,MOP,3
150,80,60,8.5,1000.0,25.0,47.09334727288047,Sugarcane,DAP,0
105,60,45,7.0,700.0,25.0,49.452677839600234,Wheat,Urea,2
103,27,31,6.691541233,126.1752206,27.15998538,51.59100753,Coffee,Urea,2
55,40,35,6.0,400.0,25.0,62.04884108023841,Jowar,Urea,2
12,20,39,6.026999326,111.0217929,19.86173586,86.19740917,Pomegranate,Urea,2
112,49,25,6.470135478,66.19426787,25.68959532,77.90621048,Cotton,Urea,2
35,35,30,7.5,800.0,30.0,47.815771346142824,Jowar,Urea,2
135,65,75,7.0,1200.0,35.0,53.562090744329936,Sugarcane,MOP,3
85,60,60,7.5,800.0,15.0,53.236431975153295,Wheat,Urea,2
40,63,18,6.74441168,63.02473185,30.41588462,67.66323804,Blackgram,Urea,2
105,60,75,7.5,1000.0,35.0,44.10366739008704,Cotton,Magnesium Sulphate,5
100,55,115,7.0,1100.0,35.0,44.30079875184374,Sugarcane,DAP,0
125,65,130,7.0,1400.0,20.0,45.4750826389728,Sugarcane,MOP,3
25,143,198,6.027314401,107.855225,22.81212536,91.51861705,Apple,Ferrous Sulphate,8
145,70,125,7.0,1400.0,30.0,62.33432638043111,Sugarcane,Urea,2
60,55,55,7.5,500.0,15.0,58.88255965834253,Wheat,19:19:19 NPK,6
135,75,140,6.5,900.0,30.0,78.51557205103123,Sugarcane,DAP,0
35,40,20,6.0,700.0,15.0,52.236816415862165,Gram,DAP,0
145,60,40,5.5,500.0,20.0,65.3657896287243,Maize,MOP,3
65,60,40,6.5,900.0,30.0,59.8462261101098,Jowar,Urea,2
125,75,125,7.0,900.0,30.0,75.02113872451915,Sugarcane,MOP,3
80,45,120,6.5,800.0,20.0,54.86425934063209,Grapes,10:10:10 NPK,9
136,36,20,6.925412377,71.29581071,23.09595631,84.86275707,Cotton,Urea,2
110,40,45,6.5,900.0,25.0,51.69633971148955,Wheat,Urea,2
28,66,23,5.99616119,120.6913038,21.53989176,24.25386207,KidneyBeans,Chilated Micronutrient,11
50,25,35,7.5,600.0,35.0,43.32945332663012,Jowar,SSP,1
120,50,55,6.5,900.0,30.0,50.61965270634603,Cotton,Magnesium Sulphate,5
35,71,17,6.931924963,198.1403003,29.89286629,66.35375127,PigeonPeas,Urea,2
135,70,75,7.5,1100.0,35.0,40.16809331789736,Sugarcane,DAP,0
3,136,205,6.334771461,71.4065452,17.5862944,80.84806564,Grapes,12:32:16 NPK,7
104,73,46,6.28236237,90.45142867,29.1400919,80.1190228,Banana,19:19:19 NPK,6
25,40,30,7.5,700.0,25.0,62.529122358547994,Groundnut,Chilated Micronutrient,11
115,60,60,7.0,900.0,30.0,42.61516566332083,Cotton,12:32:16 NPK,7
7,79,23,5.821649914,96.65888933,19.6365349,19.68751084,KidneyBeans,Chilated Micronutrient,11
110,55,40,6.5,600.0,20.0,55.06916237296015,Wheat,Urea,2
115,55,40,6.5,900.0,15.0,66.93324131375172,Wheat,19:19:19 NPK,6
120,65,80,7.0,800.0,20.0,54.5624899853682,Sugarcane,Urea,2
50,20,20,5.5,300.0,20.0,64.57949535365944,Tur,Urea,2
24,61,17,6.233269045,38.30411077,22.6371424,65.44544859,Lentil,MOP,3
95,55,100,7.0,1400.0,20.0,56.9732842519633,Sugarcane,DAP,0
26,122,202,5.617227184,107.1843273,22.44516988,94.73763514,Apple,Ferrous Sulphate,8
45,40,25,7.0,300.0,30.0,48.84608023488641,Soybean,SSP,1
120,75,145,6.5,1300.0,25.0,53.969461819758045,Sugarcane,MOP,3
114,8,50,6.581587932,57.95826144,24.74631269,88.30866319,Watermelon,Magnesium Sulphate,5
150,65,130,7.0,900.0,20.0,47.34116759058476,Sugarcane,DAP,0
140,65,140,7.5,1500.0,35.0,27.717053897519534,Sugarcane,DAP,0
39,70,52,6.65149129,59.49373381,26.26559543,90.79668055,Papaya,19:19:19 NPK,6
100,65,70,7.5,500.0,15.0,54.94513440756771,Cotton,DAP,0
90,40,45,6.5,1500.0,35.0,31.86872934640428,Rice,50:26:26 NPK,16
29,128,198,5.685062404,121.4977331,22.44075021,92.70785115,Apple,Ferrous Sulphate,8
58,67,45,6.702424548,62.62377075,38.72382798,91.72514851,Papaya,Urea,2
135,75,140,6.5,1000.0,30.0,49.30072716533017,Sugarcane,MOP,3
80,40,45,6.0,900.0,20.0,45.70423268234509,Wheat,Urea,2
35,30,40,7.0,700.0,30.0,47.834266212299994,Jowar,Urea,2
14,67,25,7.241151936,49.37369982,25.28710601,60.85993533,Lentil,SSP,1
150,85,120,6.5,1000.0,35.0,37.319383570575695,Sugarcane,MOP,3
135,65,120,6.5,1000.0,35.0,52.51515006093224,Sugarcane,Urea,2
140,90,125,7.0,900.0,20.0,63.57180274199554,Sugarcane,MOP,3
40,24,25,5.445008416,95.8946444,28.70595247,50.44030129,Mango,SSP,1
111,5,55,6.520663422,50.78669728,26.283443,84.42478917,Watermelon,Magnesium Sulphate,5
100,55,40,7.0,800.0,20.0,76.65245626724993,Wheat,19:19:19 NPK,6
39,29,29,6.143662699,199.8778403,26.50908611,94.48414544,Coconut,MOP,3
21,38,21,6.637677489,37.54602719,29.75538903,86.45193297,MungBean,Chilated Micronutrient,11
37,23,28,5.740054567,224.3206759,25.61294367,94.3138837,Coconut,MOP,3
16,145,199,5.953966361,69.30927185,26.91624843,80.76838926,Grapes,Ferrous Sulphate,8
0,69,21,7.072923306,36.68284038,25.86928193,61.88321072,Lentil,Chilated Micronutrient,11
70,55,40,6.5,800.0,15.0,51.60320866376863,Wheat,Urea,2
140,75,65,8.0,1000.0,30.0,73.98717842618784,Sugarcane,MOP,3
96,41,40,6.090060478,190.4242157,23.58419277,72.00460848,Jute,Urea,2
20,20,40,5.5,1500.0,20.0,79.4787501695511,Turmeric,Urea,2
60,55,45,5.935745417,287.5766935,21.40865769,83.3293191,Rice,19:19:19 NPK,6
70,60,50,7.5,600.0,20.0,45.55333669398957,Wheat,Urea,2
150,65,135,6.0,1000.0,35.0,32.60991951462,Sugarcane,MOP,3
90,49,21,6.472523287,74.05474936,24.84016732,68.3584573,Maize,Urea,2
25,30,25,5.5,700.0,25.0,47.355185994058914,Groundnut,SSP,1
150,75,40,6.5,600.0,25.0,72.27447453941443,Maize,MOP,3
130,75,150,6.0,900.0,20.0,68.96431870385027,Sugarcane,Urea,2
79,45,20,5.715208817,89.9622014,23.80546189,59.24537979,Maize,Urea,2
140,65,50,6.0,500.0,20.0,68.91732602596691,Maize,SSP,1
145,75,150,7.0,1100.0,25.0,62.30323247333463,Sugarcane,DAP,0
115,50,40,6.5,1000.0,25.0,61.47842336905057,Wheat,19:19:19 NPK,6
100,75,40,7.0,800.0,25.0,57.32789280006574,Cotton,DAP,0
